word_english,translation_portuguese,sentence_english,sentence_portuguese,date
parish,freguesia,The parish where I live has a very close-knit community and various cultural activities throughout the year.,A freguesia onde vivo tem uma comunidade muito unida e várias atividades culturais ao longo do ano.,2026-01-22
Leftovers,Sobras,"The leftovers from last night's dinner were saved for today's lunch, avoiding food waste.","As sobras do jantar de ontem foram guardadas para o almoço de hoje, evitando desperdício de comida.",2026-01-22
giggles,risadinhas,"The children's giggles echoed through the park, bringing joy to everyone who passed by.","As risadinhas das crianças ecoavam pelo parque, trazendo alegria a todos os que passavam por ali.",2026-01-22
to give up,desistir,"It is important not to give up on our dreams, even when we face unexpected difficulties along the way.","É importante não desistir dos nossos sonhos, mesmo quando enfrentamos dificuldades inesperadas ao longo do caminho.",2026-01-22
staff,pessoal,The staff at the company has been working hard to meet the deadlines set by the client.,O pessoal da empresa tem trabalhado arduamente para cumprir os prazos estabelecidos pelo cliente.,2026-01-22
taxpayer,contribuinte,The taxpayer must be aware of their tax obligations to avoid issues with the Tax Authority.,O contribuinte deve estar ciente das suas obrigações fiscais para evitar problemas com a Autoridade Tributária.,2026-01-22
mocked,zoado,"He was mocked by his classmates at school, but he learned to handle the situation maturely.","Ele foi zoado pelos colegas na escola, mas aprendeu a lidar com a situação de forma madura.",2026-01-22
must have been,deve ter sido,"The situation must have been very complicated, but they managed to resolve everything calmly and efficiently.","A situação deve ter sido muito complicada, mas eles conseguiram resolver tudo com calma e eficiência.",2026-01-22
poor thing,coitado,"The poor thing of a boy has had no luck at all in the past few weeks, always facing unexpected difficulties.","O coitado do rapaz não teve sorte nenhuma nas últimas semanas, sempre a enfrentar dificuldades inesperadas.",2026-01-22
Courgette,Courgette,The courgette is a versatile ingredient that can be used in various healthy and tasty recipes.,A courgette é um ingrediente versátil que pode ser utilizado em diversas receitas saudáveis e saborosas.,2026-01-22
gossiping,a falar mal,"People are talking badly about each other, spreading rumors that can be harmful.","As pessoas estão a falar mal umas das outras, espalhando rumores que podem ser prejudiciais.",2026-01-22
News,Notícias,Today's news is full of interesting information about what is happening in the world.,As notícias de hoje estão cheias de informações interessantes sobre o que se passa no mundo.,2026-01-22
Belief,Crença,Belief in oneself is fundamental to achieving your goals in life.,A crença em si mesmo é fundamental para alcançar os teus objetivos na vida.,2026-01-22
slyly,malandramente,"He smiled slyly, knowing he had a trick up his sleeve to fool others.","Ele sorriu malandramente, sabendo que tinha um truque na manga para enganar os outros.",2026-01-22
sobbing,a chorar,"She was sobbing on the couch, feeling utterly devastated by the situation.","Ela estava a chorar no sofá, sentindo-se completamente desolada pela situação.",2026-01-22
refine,refinar,It is important to refine your skills to stand out in the job market.,É importante refinar as tuas habilidades para te destacares no mercado de trabalho.,2026-01-22
Fatigue,Fadiga,"After a long day at work, fatigue starts to set in.","Depois de um longo dia de trabalho, a fadiga começa a fazer-se sentir.",2026-01-22
black beans,feijão preto,Black beans are an essential ingredient in Brazilian and Portuguese cuisine.,O feijão preto é um ingrediente essencial na culinária brasileira e portuguesa.,2026-01-22
lentils,lenticchas,Lentils are an excellent source of protein and are very versatile in the kitchen.,As lentilhas são uma excelente fonte de proteína e são muito versáteis na cozinha.,2026-01-22
seasoning,temperos,Seasonings are essential to enhance the flavor of the dishes you cook.,Os temperos são essenciais para realçar o sabor dos pratos que cozinhas.,2026-01-22
delay,atraso,The delay in the flight caused many problems for passengers who had connections.,O atraso no voo causou muitos problemas para os passageiros que tinham conexões.,2026-01-22
Caveat,Advertência,It is important to have a caveat before making significant financial decisions.,É importante ter uma advertência antes de tomar decisões financeiras significativas.,2026-01-22
discard,descartar,It is important to properly discard waste to protect the environment.,É importante descartar corretamente os resíduos para proteger o meio ambiente.,2026-01-22
tradeoff,compensação,"Sometimes, it is necessary to make a tradeoff between quality and cost when choosing a product.","Às vezes, é necessário fazer uma compensação entre qualidade e custo ao escolher um produto.",2026-01-22
Honey,Mel,Honey is a natural sweetener that can be used in various recipes.,O mel é um adoçante natural que pode ser usado em várias receitas.,2026-01-22
cumin,cominho,"Cumin is a spice widely used in Portuguese cuisine, especially in meat dishes.","O cominho é uma especiaria muito utilizada na culinária portuguesa, especialmente em pratos de carne.",2026-01-22
toilet paper,papel higiénico,Don't forget to buy toilet paper before going home.,Não te esqueças de comprar papel higiénico antes de ir para casa.,2026-01-22
silent,calado,"He remained silent throughout the meeting, listening attentively to others' opinions.","Ele ficou calado durante toda a reunião, ouvindo atentamente as opiniões dos outros.",2026-01-22
be,ser,It is important to be honest with yourself and with others.,É importante ser honesto contigo mesmo e com os outros.,2026-01-22
away,longe,"He left and is now far from home, which worries me.","Ele foi embora e agora está longe de casa, o que me deixa preocupado.",2026-01-22
hard to get,difícil de conseguir,"Sometimes, it is hard to get what we really want in life.","Às vezes, é difícil de conseguir o que realmente queremos na vida.",2026-01-22
extractor hood,exaustor,The kitchen extractor hood is essential for removing smells and steam while cooking.,O exaustor da cozinha é essencial para remover cheiros e vapores durante o cozinhado.,2026-01-22
sync from Mac,sincronizar do Mac,"To sync your files from the Mac, just open the sync application.","Para sincronizar os teus ficheiros do Mac, basta abrir a aplicação de sincronização.",2026-01-22
mock,ensaio,This is only a test to validate the pipeline.,Isto é apenas um teste para validar o pipeline.,2026-01-22
Let's toast,Bora brindar,"Tonight, let's toast to friendship and the good times we've shared.","Hoje à noite, bora brindar à amizade e aos bons momentos que vivemos juntos.",2026-01-22
shooting,tiroteio,"Last night, there was a shooting in the downtown area that left several people injured.","Ontem à noite, houve um tiroteio na zona da baixa que deixou várias pessoas feridas.",2026-01-22
intervened,interveio,He decided it was time to intervene in the situation before it became more complicated.,Ele decidiu que era hora de intervir na situação antes que se tornasse mais complicada.,2026-01-22
Good afternoon,Boa tarde,"Today, when I arrived at work, I said to everyone: good afternoon and how are you?","Hoje, ao chegar ao trabalho, disse a todos: boa tarde e como estão?",2026-01-22
Nightmare,Pesadelo,"After having that nightmare, I couldn't fall back asleep during the night.","Depois de ter aquele pesadelo, não consegui voltar a adormecer durante a noite.",2026-01-22
Charge,Cobrar,It is important to know how and when to charge clients for the services provided.,É importante saber como e quando cobrar os clientes pelos serviços prestados.,2026-01-22
assassinated,assassinado,"The political leader was assassinated in broad daylight, shocking the entire nation.","O líder político foi assassinado em plena luz do dia, chocando toda a nação.",2026-01-22
Flyer,Panfleto,The flyer we distributed on the street had information about Saturday's event.,O panfleto que distribuímos na rua tinha informações sobre o evento de sábado.,2026-01-22
sideburns,patilhas,Sideburns are in fashion and many men choose to let them grow.,As patilhas estão na moda e muitos homens optam por deixá-las crescer.,2026-01-22
neat,organizado,I like to keep my workspace always neat to be more productive.,Gosto de manter o meu espaço de trabalho sempre organizado para ser mais produtivo.,2026-01-22
Strawberry,Fresa,I love eating fresh strawberries with yogurt for breakfast on hot summer days.,Adoro comer fresa fresca com iogurte ao pequeno-almoço nos dias quentes de verão.,2026-01-22
around,redor,"The house is located in a quiet place, with a beautiful garden around.","A casa está situada num lugar tranquilo, com um belo jardim ao redor.",2026-01-22
short,curto,"The movie we watched yesterday was very short, but still fun.","O filme que vimos ontem era muito curto, mas ainda assim divertido.",2026-01-22
shorter,mais curto,"That skirt is shorter than I expected, but it still looks good on you.","Aquela saia é mais curta do que eu esperava, mas ainda assim fica-te bem.",2026-01-22
trim the beard,aparar a barba,I decided to trim my beard because it was getting too long and unkempt.,Decidi aparar a barba porque já estava a ficar muito comprida e desleixada.,2026-01-22
tidy up,arrumar,"After dinner, it's important to tidy up the kitchen so it stays clean and organized.","Depois de jantar, é importante arrumar a cozinha para que fique limpa e organizada.",2026-01-22
Square neckline,Decote quadrado,The dress I bought has a square neckline that elegantly highlights the shoulders.,O vestido que comprei tem um decote quadrado que realça os ombros de forma elegante.,2026-01-22
markup,marcação,The markup of prices on products is essential to avoid confusion in the store.,A marcação dos preços nos produtos é essencial para evitar confusões na loja.,2026-01-22
anytime,qualquer altura,"You can come to my house anytime, I'm always available to welcome you.","Podes vir a minha casa a qualquer altura, estou sempre disponível para te receber.",2026-01-22
please,por favor,"When you ask for something, always remember to say 'please' to be polite.","Quando pedires algo, lembra-te sempre de dizer 'por favor' para seres educado.",2026-01-22
any time,qualquer altura,"You can come here any time, I'm always available to help you.","Podes vir aqui a qualquer altura, estou sempre disponível para te ajudar.",2026-01-22
assessment report,relatório de avaliação,The assessment report was delivered to all students last week.,O relatório de avaliação foi entregue a todos os alunos na semana passada.,2026-01-22
Achievement,Conquista,Achieving an important goal brings a sense of satisfaction and personal fulfillment.,A conquista de um objetivo importante traz uma sensação de satisfação e realização pessoal.,2026-01-22
toystore,loja de brinquedos,The toy store in the neighborhood always has the funniest new items for kids.,A loja de brinquedos do bairro tem sempre as novidades mais engraçadas para as crianças.,2026-01-22
X-ray photo,radiografia,The X-ray showed that there were no fractures in his leg bones.,A radiografia revelou que não havia fraturas nos ossos da perna dele.,2026-01-22
postman,carteiro,The postman brought the letters and delivered them to all the neighbors on the street.,O carteiro trouxe as cartas e entregou-as a todos os vizinhos da rua.,2026-01-22
meaning,sentido,The meaning of life is something that many people spend their entire lives searching for.,O sentido da vida é algo que muitas pessoas passam a vida inteira a procurar.,2026-01-22
thief,ladrão,The thief managed to escape before the police arrived at the crime scene.,O ladrão conseguiu escapar antes que a polícia chegasse ao local do crime.,2026-01-22
Hair,Cabelo,Your hair is growing very fast and looks so healthy now.,O teu cabelo está a crescer muito rápido e parece tão saudável agora.,2026-01-22
pampering,mimando,I was pampering my dog with a bath and lots of delicious treats.,Estava a mimar o meu cão com um banho e muitos petiscos deliciosos.,2026-01-22
finger,dedo,The finger is an important part of our hand for performing daily tasks.,O dedo é uma parte importante da nossa mão para realizar tarefas diárias.,2026-01-22
incense,incenso,I lit an incense to create a relaxing atmosphere while I read a book.,Acendi um incenso para criar uma atmosfera relaxante enquanto leio um livro.,2026-01-22
sunset,pôr do sol,The sunset at the beach is always a spectacle worth appreciating.,O pôr do sol na praia é sempre um espetáculo que vale a pena apreciar.,2026-01-22
Sunrise,Nascer do sol,The sunrise today was so beautiful that it looked like the colors of an impressionist painting.,O nascer do sol hoje foi tão bonito que pareciam cores de um quadro impressionista.,2026-01-22
Rent,Renda,"The rent for this apartment is quite high, but the location is excellent for working.","A renda deste apartamento é bastante alta, mas a localização é excelente para trabalhar.",2026-01-22
windmill,moinho,The windmill in the village is a popular tourist attraction during the summer.,O moinho na aldeia é uma atração turística popular durante o verão.,2026-01-22
Noise,Barulho,The noise from the street was distracting me while I was trying to focus on work.,O barulho da rua estava a distrair-me enquanto tentava concentrar-me no trabalho.,2026-01-22
crazy,surtada,She was so crazy that she couldn't stop laughing and dancing at the party.,Ela estava tão surtada que não conseguia parar de rir e dançar na festa.,2026-01-22
to take off,decolar,"The plane will take off in five minutes, so get ready for the trip.","O avião vai decolar em cinco minutos, então prepara-te para a viagem.",2026-01-22
Take off,Decolar,"The plane will take off in five minutes, so fasten your seatbelt.","O avião vai decolar em cinco minutos, por isso aperta o cinto de segurança.",2026-01-22
jealous,enciumando,He was feeling jealous because his girlfriend was talking to another guy.,Ele estava enciumando porque a namorada estava a falar com outro rapaz.,2026-01-22
gusts,rajadas,"Today, the gusts of wind are causing some problems on the roads and with the trees.","Hoje, as rajadas de vento estão a causar alguns problemas nas estradas e nas árvores.",2026-01-22
predicting,previsão,The weather forecast for tomorrow indicates that it will rain in the afternoon.,A previsão do tempo para amanhã indica que vai chover durante a tarde.,2026-01-22
candles,velas,Candles create a cozy atmosphere and are perfect for a romantic dinner.,As velas criam uma atmosfera acolhedora e são perfeitas para um jantar romântico.,2026-01-22
black table,mesa preta,The black table in the dining room goes well with the white chairs.,A mesa preta na sala de jantar combina bem com as cadeiras brancas.,2026-01-22
full moon,lua cheia,The full moon lights up the night and brings a unique beauty to the starry sky.,A lua cheia ilumina a noite e traz uma beleza única ao céu estrelado.,2026-01-22
suffering,sofrimento,"Suffering is an inevitable part of life, but we can learn from it.","O sofrimento é uma parte inevitável da vida, mas podemos aprender com ele.",2026-01-22
to break,romper,He decided to break with tradition and follow his own path in life.,Ele decidiu romper com a tradição e seguir o seu próprio caminho na vida.,2026-01-22
firing,demissão,"The manager's firing surprised the whole team, who did not expect this sudden change.","A demissão do gerente surpreendeu toda a equipa, que não esperava essa mudança repentina.",2026-01-22
just kidding,estou a brincar,"When I said I wasn't coming to the party, I was just kidding; of course I'm going to show up.","Quando disse que não vinha à festa, estava a brincar, claro que vou aparecer.",2026-01-22
take off,decolar,"The plane will take off in ten minutes, so get ready for the trip.","O avião vai decolar em dez minutos, por isso prepara-te para a viagem.",2026-01-22
pigeon,pombo,The pigeon landed gently on the window while I was having breakfast.,O pombo pousou suavemente na janela enquanto eu tomava café da manhã.,2026-01-22
Waxine lights,Velas de cera,Waxine lights are perfect for creating a cozy atmosphere at home.,As velas de cera são perfeitas para criar uma atmosfera acolhedora em casa.,2026-01-22
Black table,Mesa preta,The black table in the dining room goes well with the white chairs we chose.,A mesa preta na sala de jantar combina bem com as cadeiras brancas que escolhemos.,2026-01-22
keys,chaves,The house keys are always in the same drawer in the kitchen.,As chaves da casa estão sempre na mesma gaveta da cozinha.,2026-01-22
Access,Aceder,"To access the site, you need a stable internet connection.","Para aceder ao site, precisas de uma ligação à internet estável.",2026-01-22
Cookies,Bolachas,The cookies you made are delicious and disappeared in a few minutes.,As bolachas que fizeste estão deliciosas e desapareceram em poucos minutos.,2026-01-22
toothpicks,palitos de dentes,"After dinner, I used toothpicks to clean between my teeth.","Depois do jantar, usei palitos de dentes para limpar os dentes entre as refeições.",2026-01-22
friction,fricção,The friction between the two materials caused significant wear over time.,A fricção entre os dois materiais causou um desgaste significativo ao longo do tempo.,2026-01-22
Screen,Ecrã,The screen of my computer needs a thorough cleaning to see better.,O ecrã do meu computador está a precisar de uma limpeza urgente para ver melhor.,2026-01-22
spending,gasto,Your monthly spending on food is very high; you should try to save a bit more.,"O teu gasto mensal com comida é muito elevado, deves tentar poupar um pouco mais.",2026-01-22
I've got you under my skin,Estás na minha pele,"The truth is that since I met you, you feel under my skin in a unique way.","A verdade é que, desde que te conheci, sentes-te na minha pele de uma forma única.",2026-01-22
understanding,compreensão,Mutual understanding is essential for resolving conflicts and building healthy relationships.,A compreensão mútua é essencial para resolver conflitos e construir relacionamentos saudáveis.,2026-01-22
1991,1991,"In 1991, Portugal experienced significant moments in its recent history, such as joining the European Union.","Em 1991, Portugal viveu momentos marcantes na sua história recente, como a adesão à União Europeia.",2026-01-22
Seat,Assento,The bus seat was comfortable and allowed me to relax during the trip.,O assento do autocarro estava confortável e permitiu-me relaxar durante a viagem.,2026-01-22
job offer,oferta de emprego,I received a job offer that seems to be a great opportunity for my career.,Recebi uma oferta de emprego que parece ser uma ótima oportunidade para a minha carreira.,2026-01-22
office,escritório,The office where I work is very comfortable and has an amazing view of the city.,O escritório onde trabalho é muito confortável e tem uma vista incrível para a cidade.,2026-01-22
Flute,Flauta,The flute is a musical instrument that produces soft and melodic sounds.,A flauta é um instrumento musical que produz sons suaves e melodiosos.,2026-01-22
Stamps,Selos,Stamps are essential for sending letters and postcards by mail.,Os selos são essenciais para enviar cartas e postais pelo correio.,2026-01-22
relocation,realojamento,The relocation of families affected by the fire was a priority for the municipal council.,O realojamento das famílias afetadas pelo incêndio foi uma prioridade para a câmara municipal.,2026-01-22
request,peça,You can make a request to the manager for him to consider your suggestion.,Podes fazer uma peça ao gerente para que ele considere a tua sugestão.,2026-01-22
desk,secretária,The desk is full of papers and books that I need to organize today.,A secretária está cheia de papéis e livros que preciso organizar hoje.,2026-01-22
Duck,Pato,The duck was swimming peacefully in the lake while the younger ducks followed it.,O pato nadava tranquilamente no lago enquanto os patos mais novos o seguiam.,2026-01-22
part-time job,trabalho a tempo parcial,I was looking for a part-time job to supplement my monthly income.,Estava à procura de um trabalho a tempo parcial para complementar a minha renda mensal.,2026-01-22
job fair,feira de emprego,This year's job fair will have several companies looking for new talent.,A feira de emprego deste ano terá várias empresas à procura de novos talentos.,2026-01-22
stamps,selos,The stamps I bought at the store are very beautiful and have interesting designs.,Os selos que comprei na loja são muito bonitos e têm designs interessantes.,2026-01-22
work office,escritório de trabalho,The work office is always full of people discussing projects and collaborating as a team.,O escritório de trabalho está sempre cheio de pessoas a discutir projetos e a colaborar em equipa.,2026-01-22
lid,tampo,"The lid of the box was loose, so I had to tighten it so it wouldn't fall off.","O tampo da caixa estava solto, então tive de apertá-lo para que não caísse.",2026-01-22
piece,peça,I need a new piece for my car because the old one broke down.,"Preciso de uma peça nova para o meu carro, pois a antiga avariou.",2026-01-22
invitation,convite,I received an invitation to my friend's birthday party this weekend.,Recebi um convite para a festa de aniversário do meu amigo este fim de semana.,2026-01-22
excerpt,excerto,The excerpt from the book I read yesterday made me think about life and its choices.,O excerto do livro que li ontem deixou-me a pensar sobre a vida e as suas escolhas.,2026-01-22
need,precisar,"Sometimes, we need help to solve problems that seem impossible to overcome.","Às vezes, precisamos de ajuda para resolver problemas que parecem impossíveis de ultrapassar.",2026-01-22
Watchers,Observadores,The nature watchers noticed significant changes in animal behavior this year.,Os observadores da natureza notaram mudanças significativas no comportamento dos animais este ano.,2026-01-22
Cozy,Aconchegante,The living room was so cozy that I didn't want to leave it all night.,A sala estava tão aconchegante que não queria sair de lá durante a noite.,2026-01-22
refusal,recuso,The refusal to accept the proposal left everyone surprised by his decision.,O recuso de aceitar a proposta deixou todos surpresos com a sua decisão.,2026-01-22
take in,absorver,It is important to take in new information to stay updated in your job.,É importante absorver novas informações para te manteres atualizado no teu trabalho.,2026-01-22
Mortgage,Hipoteca,"When you decide to buy a house, it's important to understand how the mortgage works.","Quando decidires comprar uma casa, é importante entender como funciona a hipoteca.",2026-01-22
steering wheel,volante,"The car's steering wheel was dirty, so I decided to clean it before driving.","O volante do carro estava sujo, então decidi limpá-lo antes de conduzir.",2026-01-22
Gloves,Luvas,"In winter, it's important to wear gloves to keep your hands warm while walking on the street.","No inverno, é importante usar luvas para manter as mãos quentes enquanto andas na rua.",2026-01-22
alluding,aludindo,He was alluding to a past event that we all know well.,Ele estava aludindo a um evento passado que todos conhecemos bem.,2026-01-22
gifts,prendas,"At Christmas, we usually exchange gifts among friends and family to celebrate the festive season.","No Natal, costumamos trocar prendas entre amigos e familiares para celebrar a época festiva.",2026-01-22
vacuum cleaner,aspirador,The vacuum cleaner is essential for keeping the house clean and free of dust and dirt.,O aspirador é essencial para manter a casa limpa e livre de pó e sujidade.,2026-01-22
Timeless,Intemporal,The song you heard yesterday is timeless and continues to touch my heart.,A música que ouviste ontem é intemporal e continua a tocar no meu coração.,2026-01-22
to relax,folgar,"After a tiring week, it's nice to relax and enjoy the weekend with friends.","Depois de uma semana cansativa, é bom folgar e aproveitar o fim de semana com amigos.",2026-01-22
Gifts,Prendas,Christmas gifts are always a pleasant surprise for all family members.,As prendas de Natal são sempre uma surpresa agradável para todos os membros da família.,2026-01-22
locks,fechaduras,The locks on the house doors are very old and need to be replaced.,As fechaduras das portas da casa são muito antigas e precisam de ser substituídas.,2026-01-22
chest,peito,He lifted his shirt and showed his chest full of tattoos.,Ele levantou a camisa e mostrou o peito cheio de tatuagens.,2026-01-22
biceps,bíceps,Doing exercises for the biceps is important for having strength in the arms.,Fazer exercícios para os bíceps é importante para ter força nos braços.,2026-01-22
surrounded,rodeado,I feel surrounded by friends who support me in all difficult moments.,Sinto-me rodeado de amigos que me apoiam em todos os momentos difíceis.,2026-01-22
besides,além disso,"Besides, we need to consider other options before making a final decision.","Além disso, precisamos considerar outras opções antes de tomar uma decisão final.",2026-01-22
put away,guardar,"After using the dishes, it's important to put them away properly in the cupboard.","Depois de usar os pratos, é importante guardá-los corretamente no armário.",2026-01-22
to roll,enrolar,He decided to roll up the towel before leaving the pool to avoid getting it wet.,Ele decidiu enrolar a toalha antes de sair da piscina para não a molhar.,2026-01-22
pointed,apontado,His finger was pointed in the right direction during the discussion.,O dedo dele estava apontado para a direção certa durante a discussão.,2026-01-22
chewing gum,goma de mascar,I bought a pack of chewing gum to freshen my breath after lunch.,Comprei uma embalagem de goma de mascar para refrescar o hálito depois do almoço.,2026-01-22
dry run,ensaio,We did a dry run to ensure everything goes well on the day of the presentation.,Fizemos um ensaio para garantir que tudo corre bem no dia da apresentação.,2026-01-22
stairs,escadas,The stairs in the building are very steep and can be dangerous for some people.,As escadas do prédio são muito íngremes e podem ser perigosas para algumas pessoas.,2026-01-22
statue,estátua,The statue in the park is a tribute to the city's heroes.,A estátua no parque é uma homenagem aos heróis da cidade.,2026-01-22
soaking wet,encharcado,"After the heavy rain, I got home completely soaking wet and in need of a towel.","Depois da chuva intensa, cheguei a casa completamente encharcado e a precisar de uma toalha.",2026-01-22
lobby,lobby,"The lobby is an important part of the political process, where decisions and policies are influenced.","O lobby é uma parte importante do processo político, onde se influenciam decisões e políticas.",2026-01-22
scam,golpe,"Be careful with emails that seem legitimate, many are scams to steal personal information.","Cuidado com os e-mails que parecem legítimos, muitos são golpes para roubar informações pessoais.",2026-01-22
fraud,fraude,Financial fraud can have serious consequences for victims and for society.,A fraude financeira pode ter consequências graves para as vítimas e para a sociedade.,2026-01-22
under construction,em construção,The new shopping center is under construction and is expected to open next year.,O novo centro comercial está em construção e deve abrir no próximo ano.,2026-01-22
refugee,refugiado,The refugee found shelter in an organization that helps people in crisis situations.,O refugiado encontrou abrigo numa organização que ajuda pessoas em situações de crise.,2026-01-22
axe,machado,The axe is an essential tool for chopping wood and making fire.,O machado é uma ferramenta essencial para cortar madeira e fazer fogo.,2026-01-22
stoned,chapado,"After smoking a bit, he got completely stoned and couldn't stop laughing.","Depois de fumar um pouco, ele ficou completamente chapado e não conseguia parar de rir.",2026-01-22
Dawn,Amanhecer,Dawn is always a magical moment when the light begins to illuminate the sky.,"O amanhecer é sempre um momento mágico, quando a luz começa a iluminar o céu.",2026-01-22
Harvest,Colheita,"The grape harvest this year was exceptional, with a quality above average.","A colheita das uvas este ano foi excepcional, com uma qualidade superior à média.",2026-01-22
Wind,Vento,"The wind was blowing hard, making the trees sway and the leaves fall.","O vento soprava forte, fazendo as árvores balançarem e as folhas caírem.",2026-01-22
waisted,com cintura,The blouse I bought is very pretty and has a waisted cut that flatters the body.,A blusa que comprei é muito bonita e tem um corte com cintura que valoriza o corpo.,2026-01-22
drunk,bêbado,"After a few beers, he got completely drunk and started telling funny stories.","Depois de algumas cervejas, ele ficou completamente bêbado e começou a contar histórias engraçadas.",2026-01-22
mess up,estragar,"If you don't pay attention, you might mess up everything you planned for the weekend.","Se não prestares atenção, podes estragar tudo o que planeaste para o fim de semana.",2026-01-22
what,o que,"I don't understand what you're trying to say, can you explain better?","Não percebo o que estás a tentar dizer, podes explicar melhor?",2026-01-22
to mess up,trapalhar,"I don't want to mess up your work, but I need help with this task.","Não quero trapalhar o teu trabalho, mas preciso de ajuda com esta tarefa.",2026-01-22
tools,ferramentas,The right tools can make all the difference when it comes to completing a project.,As ferramentas certas podem fazer toda a diferença na hora de realizar um projeto.,2026-01-22
Scene,Cena,The scene in the movie was so thrilling that everyone was silent watching.,A cena do filme foi tão emocionante que todos ficaram em silêncio a assistir.,2026-01-22
Heartbroken,Coração partido,"After everything that happened, I feel heartbroken and don't know what to do.","Depois de tudo o que aconteceu, sinto-me com o coração partido e sem saber o que fazer.",2026-01-22
Limbo,Limbo,"He was in an emotional limbo, not knowing what to do with his life.","Ele estava num limbo emocional, sem saber o que fazer com a sua vida.",2026-01-22
Ingesting,Ingerindo,Ingesting healthy foods is essential for maintaining good health and energy throughout the day.,Ingerindo alimentos saudáveis é fundamental para manter uma boa saúde e energia ao longo do dia.,2026-01-22
Highlights,Destaques,The highlights of the meeting were discussed with all team members.,Os destaques da reunião foram discutidos com todos os membros da equipa.,2026-01-22
fell ill,adoeceu,He fell ill suddenly and had to miss work for a week.,Ele adoeceu de repente e teve de faltar ao trabalho durante uma semana.,2026-01-22
tight,apertado,The dress I bought is so tight that I can hardly breathe.,O vestido que comprei está tão apertado que mal consigo respirar.,2026-01-22
It's snowing,Está a nevar,"Today, it's snowing and the streets are covered with a white blanket.","Hoje, está a nevar e as ruas estão cobertas de um manto branco.",2026-01-22
Vigor,Vigor,It is important to maintain vigor and energy throughout the day to be productive.,É importante manter o vigor e a energia ao longo do dia para ser produtivo.,2026-01-22
clouds,nuvens,The clouds in the sky were so beautiful they looked hand-painted.,As nuvens no céu estavam tão bonitas que pareciam pintadas à mão.,2026-01-22
to see a label,ver rótulo,"Before buying, it's important to see the label to know the ingredients.","Antes de comprar, é importante ver o rótulo para saber os ingredientes.",2026-01-22
Side of the box,Lateral da caixa,The side of the box is damaged and we need a new one to replace it.,A lateral da caixa está danificada e precisamos de uma nova para substituir.,2026-01-22
Scratch my back,Coçar as minhas costas,"Sometimes, I need someone to help me scratch my back when I can't reach.","Às vezes, preciso de alguém para me ajudar a coçar as minhas costas quando não consigo alcançar.",2026-01-22
glazier,vidraceira,The glazier installed the new windows in the house in just one day.,A vidraceira instalou as novas janelas na casa em apenas um dia.,2026-01-22
Charging cable,Cabo de carregamento,The charging cable for my phone broke and I need a new one.,O cabo de carregamento do meu telemóvel avariou e preciso de um novo.,2026-01-22
to burn,queimar,"Be careful with the candle, don't let it burn unattended.","Cuidado com a vela, não a deixes queimar sem supervisão.",2026-01-22
Survey,Sondagem,The survey revealed that most people prefer to work remotely.,A sondagem revelou que a maioria das pessoas prefere trabalhar remotamente.,2026-01-22
Pepper mill,Moedor de pimenta,The pepper mill is essential to enhance the flavor of the dishes you cook.,O moedor de pimenta é essencial para realçar o sabor dos pratos que cozinhas.,2026-01-22
to dare,atrever-se,You need to dare to step out of your comfort zone to grow in life.,É preciso atrever-se a sair da zona de conforto para crescer na vida.,2026-01-22
oat milk,leite de aveia,Oat milk is a popular alternative to cow's milk among vegans.,O leite de aveia é uma alternativa popular ao leite de vaca entre os vegans.,2026-01-22
